"","skill_level","used_copilot","task_0_sub_0_valid","task_0_sub_1_valid","task_0_sub_2_valid","task_0_time","task_1_valid","task_1_time","task_1_complexity","task_2_valid","task_2_time","task_3_valid","task_3_time"
"1","adv",TRUE,TRUE,TRUE,TRUE,96.4819235943691,FALSE,NA,NA,TRUE,638.499512948572,TRUE,274.880922202719
"2","adv",TRUE,TRUE,TRUE,TRUE,52.9515275459129,FALSE,NA,NA,TRUE,607.453926518837,TRUE,255.044497955833
"3","adv",TRUE,TRUE,TRUE,FALSE,56.5360999879592,TRUE,754.047783200222,77,TRUE,621.188594503969,TRUE,312.358160092348
"4","adv",TRUE,TRUE,TRUE,TRUE,81.4683846811987,TRUE,734.167728281749,71,TRUE,488.231232325955,TRUE,269.463614697025
"5","adv",TRUE,TRUE,TRUE,TRUE,71.5433655293723,TRUE,589.493484786701,60,TRUE,530.923341135273,TRUE,326.619810688492
"6","adv",TRUE,TRUE,TRUE,TRUE,61.0167783887178,FALSE,NA,NA,TRUE,532.344698347587,TRUE,257.970796013065
"7","adv",TRUE,TRUE,TRUE,TRUE,43.6818691720376,TRUE,562.58988773068,68,TRUE,649.811634321426,TRUE,317.23754782212
"8","adv",TRUE,TRUE,TRUE,TRUE,75.1698040425408,FALSE,NA,NA,TRUE,565.850824264006,FALSE,NA
"9","beg",TRUE,TRUE,TRUE,TRUE,62.7711761972321,FALSE,NA,NA,TRUE,529.303995796456,TRUE,335.612194200991
"10","beg",TRUE,TRUE,TRUE,TRUE,61.0427911096933,FALSE,NA,NA,TRUE,675.665089790827,FALSE,340.623999873322
"11","beg",TRUE,TRUE,TRUE,TRUE,78.0994647437999,TRUE,721.43204037209,67,TRUE,647.973438889458,FALSE,335.107857163554
"12","beg",TRUE,TRUE,TRUE,TRUE,73.7281817732576,TRUE,720.285147045877,73,TRUE,618.011011172907,TRUE,327.784249759984
"13","beg",TRUE,TRUE,TRUE,FALSE,76.197325216437,TRUE,680.96372157461,93,TRUE,611.315849017505,TRUE,305.6810565093
"14","beg",TRUE,TRUE,TRUE,TRUE,80.8958192467637,TRUE,543.489492459555,61,TRUE,561.601883401646,TRUE,262.611435546895
"15","beg",TRUE,TRUE,TRUE,FALSE,77.7597122201724,TRUE,644.981816093276,85,TRUE,611.79045534854,TRUE,359.60592349053
"16","beg",TRUE,TRUE,TRUE,TRUE,76.1537999191926,FALSE,NA,NA,TRUE,509.555850058028,TRUE,281.508560486663
"17","beg",TRUE,TRUE,TRUE,TRUE,105.365086632175,FALSE,NA,NA,FALSE,NA,TRUE,NA
